timestamp,track_id,class,confidence,x,y,width,height
2025-04-30 13:37:17.331176,2,person,0.81,692,539,1228,533
2025-04-30 13:37:17.358660,1,person,0.80,0,580,514,492
2025-04-30 13:37:17.358660,2,person,0.82,675,543,1244,528
2025-04-30 13:37:17.386553,1,person,0.77,0,581,510,492
2025-04-30 13:37:17.386553,2,person,0.80,677,541,1240,530
2025-04-30 13:37:17.417123,1,person,0.82,0,581,505,491
2025-04-30 13:37:17.417123,2,person,0.77,675,542,1212,529
2025-04-30 13:37:17.444402,1,person,0.78,0,585,500,487
2025-04-30 13:37:17.444402,2,person,0.77,680,549,1233,522
2025-04-30 13:37:17.474367,1,person,0.78,0,590,492,483
2025-04-30 13:37:17.474367,2,person,0.76,684,548,1233,524
2025-04-30 13:37:17.501581,1,person,0.82,0,592,489,481
2025-04-30 13:37:17.501581,2,person,0.76,679,547,1221,524
2025-04-30 13:37:17.530916,1,person,0.78,0,591,491,481
2025-04-30 13:37:17.530916,2,person,0.80,678,541,1149,531
2025-04-30 13:37:17.559303,1,person,0.75,0,590,495,482
2025-04-30 13:37:17.559303,2,person,0.73,700,535,1158,537
2025-04-30 13:37:17.586476,1,person,0.78,0,585,501,487
2025-04-30 13:37:17.586476,2,person,0.56,696,520,1215,551
2025-04-30 13:37:17.617530,1,person,0.76,0,583,508,489
2025-04-30 13:37:17.617530,2,person,0.54,696,491,1219,581
2025-04-30 13:37:17.649117,1,person,0.68,0,580,511,494
2025-04-30 13:37:17.649117,2,person,0.69,692,468,1224,600
2025-04-30 13:37:17.681051,1,person,0.81,0,577,510,496
2025-04-30 13:37:17.681051,2,person,0.76,671,442,1247,627
2025-04-30 13:37:17.713041,1,person,0.80,0,578,510,495
2025-04-30 13:37:17.713041,2,person,0.79,681,441,1236,628
2025-04-30 13:37:17.743235,1,person,0.83,0,580,504,493
2025-04-30 13:37:17.743235,2,person,0.79,676,447,1243,624
2025-04-30 13:37:17.775428,1,person,0.79,0,583,506,490
2025-04-30 13:37:17.775428,2,person,0.82,681,461,1238,611
2025-04-30 13:37:17.802986,1,person,0.83,0,583,504,491
2025-04-30 13:37:17.802986,2,person,0.83,684,478,1235,593
2025-04-30 13:37:17.831524,1,person,0.83,0,583,504,490
2025-04-30 13:37:17.831524,2,person,0.82,697,482,1223,589
2025-04-30 13:37:17.858390,1,person,0.84,0,583,505,490
2025-04-30 13:37:17.858390,2,person,0.81,691,481,1229,591
2025-04-30 13:37:17.886307,1,person,0.80,0,582,509,491
2025-04-30 13:37:17.886307,2,person,0.70,685,477,1235,595
2025-04-30 13:37:17.914346,1,person,0.81,0,580,511,491
2025-04-30 13:37:17.914346,2,person,0.74,692,475,1228,596
2025-04-30 13:37:17.941775,1,person,0.81,0,579,512,494
2025-04-30 13:37:17.941775,2,person,0.72,663,475,1257,595
2025-04-30 13:37:17.968375,1,person,0.82,0,579,511,494
2025-04-30 13:37:17.968375,2,person,0.78,679,479,1239,590
2025-04-30 13:37:18.008277,1,person,0.82,0,580,509,491
2025-04-30 13:37:18.008277,2,person,0.79,684,484,1231,586
2025-04-30 13:37:18.048220,1,person,0.82,0,580,507,493
2025-04-30 13:37:18.048220,2,person,0.79,678,490,1241,580
2025-04-30 13:37:18.075556,1,person,0.82,0,580,507,493
2025-04-30 13:37:18.075556,2,person,0.77,690,505,1229,566
2025-04-30 13:37:18.114714,1,person,0.82,0,581,509,492
2025-04-30 13:37:18.114714,2,person,0.81,708,511,1209,561
2025-04-30 13:37:18.141948,1,person,0.82,0,581,509,492
2025-04-30 13:37:18.141948,2,person,0.78,680,507,1232,566
2025-04-30 13:37:18.180621,1,person,0.82,0,580,512,492
2025-04-30 13:37:18.180621,2,person,0.83,681,509,1232,565
2025-04-30 13:37:18.207371,1,person,0.81,0,579,513,494
2025-04-30 13:37:18.207371,2,person,0.74,669,511,1251,560
2025-04-30 13:37:18.246183,1,person,0.81,0,577,516,496
2025-04-30 13:37:18.246183,2,person,0.72,691,516,1229,555
2025-04-30 13:37:18.296861,1,person,0.80,0,578,518,493
2025-04-30 13:37:18.296861,2,person,0.70,686,521,1234,550
2025-04-30 13:37:18.325968,1,person,0.80,0,578,516,494
2025-04-30 13:37:18.325968,2,person,0.77,710,522,1176,551
2025-04-30 13:37:18.354833,1,person,0.80,0,577,518,495
2025-04-30 13:37:18.354833,2,person,0.77,679,522,1163,550
2025-04-30 13:37:18.384283,1,person,0.80,0,577,520,496
2025-04-30 13:37:18.384283,2,person,0.59,680,522,1141,549
2025-04-30 13:37:18.426189,1,person,0.82,0,577,511,495
2025-04-30 13:37:18.426189,2,person,0.72,671,525,1178,546
2025-04-30 13:37:18.452908,1,person,0.83,0,579,507,495
2025-04-30 13:37:18.452908,2,person,0.71,694,527,1137,543
2025-04-30 13:37:18.492994,1,person,0.83,0,579,504,495
2025-04-30 13:37:18.492994,2,person,0.69,690,524,1150,546
2025-04-30 13:37:18.519838,1,person,0.85,0,579,506,494
2025-04-30 13:37:18.519838,2,person,0.69,705,527,1137,543
2025-04-30 13:37:18.560287,1,person,0.82,0,579,507,494
2025-04-30 13:37:18.560287,2,person,0.62,709,525,1114,545
2025-04-30 13:37:18.587442,1,person,0.84,0,580,509,493
2025-04-30 13:37:18.587442,2,person,0.66,747,526,1085,545
2025-04-30 13:37:18.630659,1,person,0.78,0,580,514,492
2025-04-30 13:37:18.630659,2,person,0.52,687,529,1133,541
2025-04-30 13:37:18.659825,1,person,0.78,0,580,515,491
2025-04-30 13:37:18.659825,2,person,0.62,677,523,1145,547
2025-04-30 13:37:18.687207,1,person,0.82,0,577,518,496
2025-04-30 13:37:18.687207,2,person,0.66,670,529,883,541
2025-04-30 13:37:18.726045,1,person,0.79,0,574,525,498
2025-04-30 13:37:18.726045,2,person,0.68,655,527,1185,543
2025-04-30 13:37:18.765063,1,person,0.83,0,571,528,501
2025-04-30 13:37:18.765063,2,person,0.71,649,525,1222,544
2025-04-30 13:37:18.793204,1,person,0.82,0,571,529,500
2025-04-30 13:37:18.793204,2,person,0.74,637,525,1198,545
2025-04-30 13:37:18.832523,1,person,0.76,1,571,533,500
2025-04-30 13:37:18.832523,2,person,0.64,653,527,1218,542
2025-04-30 13:37:18.859339,1,person,0.72,1,579,545,493
2025-04-30 13:37:18.859339,2,person,0.56,757,532,1135,537
2025-04-30 13:37:18.896880,1,person,0.83,1,597,559,473
2025-04-30 13:37:18.896880,2,person,0.67,768,539,1131,530
2025-04-30 13:37:18.936484,1,person,0.70,1,621,558,447
2025-04-30 13:37:18.936484,2,person,0.69,751,549,1154,520
2025-04-30 13:37:18.963352,1,person,0.85,1,634,565,438
2025-04-30 13:37:18.963352,2,person,0.69,800,557,1016,513
2025-04-30 13:37:19.003733,1,person,0.83,1,639,524,432
2025-04-30 13:37:19.003733,2,person,0.68,801,552,1105,517
2025-04-30 13:37:19.030193,1,person,0.80,0,639,625,431
2025-04-30 13:37:19.030193,2,person,0.57,834,539,807,531
2025-04-30 13:37:19.070769,1,person,0.76,0,636,687,435
2025-04-30 13:37:19.070769,2,person,0.64,797,520,1120,547
2025-04-30 13:37:19.097378,1,person,0.80,0,630,705,440
2025-04-30 13:37:19.097378,2,person,0.75,806,500,1096,569
2025-04-30 13:37:19.136016,1,person,0.84,0,623,723,447
2025-04-30 13:37:19.136016,2,person,0.57,825,484,886,586
2025-04-30 13:37:19.176215,1,person,0.86,1,620,747,452
2025-04-30 13:37:19.176215,2,person,0.68,840,471,940,600
2025-04-30 13:37:19.203799,1,person,0.84,1,605,761,466
2025-04-30 13:37:19.203799,2,person,0.77,854,449,1047,622
2025-04-30 13:37:19.244954,1,person,0.70,29,545,750,524
2025-04-30 13:37:19.244954,2,person,0.54,871,389,1031,681
2025-04-30 13:37:19.282906,1,person,0.73,138,457,672,610
2025-04-30 13:37:19.282906,2,person,0.70,886,319,1029,747
2025-04-30 13:37:19.310488,1,person,0.68,39,360,790,702
2025-04-30 13:37:19.310488,2,person,0.70,886,319,1029,747
2025-04-30 13:37:19.339367,1,person,0.71,29,291,812,773
2025-04-30 13:37:19.339367,2,person,0.86,822,104,1098,964
2025-04-30 13:37:19.379281,1,person,0.74,2,278,740,790
2025-04-30 13:37:19.379281,2,person,0.86,790,72,1127,994
2025-04-30 13:37:19.407294,1,person,0.77,3,282,744,786
2025-04-30 13:37:19.407294,2,person,0.89,825,76,1095,991
2025-04-30 13:37:19.448571,1,person,0.83,5,284,740,783
2025-04-30 13:37:19.448571,2,person,0.89,757,77,1163,990
2025-04-30 13:37:19.477016,1,person,0.82,1,289,742,779
2025-04-30 13:37:19.477016,2,person,0.91,797,79,1121,988
2025-04-30 13:37:19.515872,1,person,0.69,19,303,852,764
2025-04-30 13:37:19.515872,2,person,0.90,828,91,1090,976
2025-04-30 13:37:19.542947,1,person,0.70,7,312,876,756
2025-04-30 13:37:19.542947,2,person,0.88,778,98,1142,969
2025-04-30 13:37:19.581249,1,person,0.79,2,312,842,755
2025-04-30 13:37:19.581249,2,person,0.90,777,99,1143,969
2025-04-30 13:37:19.607986,1,person,0.87,3,311,797,755
2025-04-30 13:37:19.607986,2,person,0.86,782,97,1138,970
2025-04-30 13:37:19.646293,1,person,0.88,1,302,812,765
2025-04-30 13:37:19.646293,2,person,0.79,789,87,1129,978
2025-04-30 13:37:19.684758,1,person,0.86,2,290,840,777
2025-04-30 13:37:19.684758,2,person,0.86,821,81,1099,987
2025-04-30 13:37:19.713164,1,person,0.92,2,271,812,800
2025-04-30 13:37:19.713164,2,person,0.87,832,68,1087,998
2025-04-30 13:37:19.751373,1,person,0.93,0,251,820,819
2025-04-30 13:37:19.751373,2,person,0.83,790,57,1129,1011
2025-04-30 13:37:19.779198,1,person,0.93,2,245,821,825
2025-04-30 13:37:19.779198,2,person,0.84,787,52,1132,1016
2025-04-30 13:37:19.823720,1,person,0.93,0,242,833,829
2025-04-30 13:37:19.823720,2,person,0.88,772,55,1147,1013
2025-04-30 13:37:19.855286,1,person,0.89,0,243,843,824
2025-04-30 13:37:19.855286,2,person,0.87,778,57,1141,1011
2025-04-30 13:37:19.895764,1,person,0.93,0,245,846,825
2025-04-30 13:37:19.895764,2,person,0.81,765,59,1154,1009
2025-04-30 13:37:19.923755,1,person,0.94,2,249,852,821
2025-04-30 13:37:19.923755,2,person,0.79,766,59,1154,1009
2025-04-30 13:37:19.951143,1,person,0.93,2,253,861,816
2025-04-30 13:37:19.951143,2,person,0.83,759,61,1161,1007
2025-04-30 13:37:19.990741,1,person,0.94,0,252,868,818
2025-04-30 13:37:19.990741,2,person,0.81,761,59,1159,1010
2025-04-30 13:37:20.016455,1,person,0.94,0,255,878,814
2025-04-30 13:37:20.016455,2,person,0.85,755,56,1165,1013
2025-04-30 13:37:20.056032,1,person,0.94,0,260,886,807
2025-04-30 13:37:20.056032,2,person,0.87,754,57,1166,1011
2025-04-30 13:37:20.095197,1,person,0.94,2,268,888,801
2025-04-30 13:37:20.095197,2,person,0.85,748,61,1172,1008
2025-04-30 13:37:20.123267,1,person,0.94,0,272,888,797
2025-04-30 13:37:20.123267,2,person,0.84,752,64,1168,1003
2025-04-30 13:37:20.163373,1,person,0.95,0,272,887,796
2025-04-30 13:37:20.163373,2,person,0.82,761,65,1159,1003
2025-04-30 13:37:20.190757,1,person,0.94,0,267,887,804
2025-04-30 13:37:20.190757,2,person,0.76,754,62,1166,1009
2025-04-30 13:37:20.231263,1,person,0.94,2,262,882,806
2025-04-30 13:37:20.231263,2,person,0.75,766,57,1154,1010
2025-04-30 13:37:20.258039,1,person,0.94,2,259,877,809
2025-04-30 13:37:20.258039,2,person,0.79,811,53,1109,1014
2025-04-30 13:37:20.298673,1,person,0.94,0,255,871,813
2025-04-30 13:37:20.298673,2,person,0.78,770,55,1149,1012
2025-04-30 13:37:20.326242,1,person,0.94,2,258,868,810
2025-04-30 13:37:20.326242,2,person,0.78,753,55,1163,1014
2025-04-30 13:37:20.374398,1,person,0.93,2,256,864,812
2025-04-30 13:37:20.374398,2,person,0.75,756,55,1163,1013
2025-04-30 13:37:20.405025,1,person,0.94,2,255,856,814
2025-04-30 13:37:20.405025,2,person,0.82,756,53,1164,1015
2025-04-30 13:37:20.438921,1,person,0.94,2,253,847,816
2025-04-30 13:37:20.438921,2,person,0.82,760,53,1160,1015
2025-04-30 13:37:20.472050,1,person,0.94,2,248,837,821
2025-04-30 13:37:20.472050,2,person,0.80,749,53,1171,1015
2025-04-30 13:37:20.507228,1,person,0.94,2,247,833,823
2025-04-30 13:37:20.507228,2,person,0.75,718,54,1196,1015
2025-04-30 13:37:20.544775,1,person,0.94,2,244,824,826
2025-04-30 13:37:20.544775,2,person,0.72,896,51,1024,1016
2025-04-30 13:37:20.585452,1,person,0.94,2,242,824,827
2025-04-30 13:37:20.585452,2,person,0.80,765,51,1155,1017
2025-04-30 13:37:20.623608,1,person,0.93,1,242,821,827
2025-04-30 13:37:20.623608,2,person,0.84,752,54,1168,1014
2025-04-30 13:37:20.662103,1,person,0.93,1,245,821,824
2025-04-30 13:37:20.662103,2,person,0.80,742,59,1178,1010
2025-04-30 13:37:20.703655,1,person,0.92,2,247,822,821
2025-04-30 13:37:20.703655,2,person,0.83,739,64,1181,1005
2025-04-30 13:37:20.741992,1,person,0.93,2,257,806,811
2025-04-30 13:37:20.741992,2,person,0.81,727,73,1193,996
2025-04-30 13:37:20.776521,1,person,0.92,1,267,810,801
2025-04-30 13:37:20.776521,2,person,0.82,725,83,1195,984
2025-04-30 13:37:20.808974,1,person,0.92,1,277,805,790
2025-04-30 13:37:20.808974,2,person,0.74,689,90,1225,978
2025-04-30 13:37:20.841255,1,person,0.91,2,284,800,785
2025-04-30 13:37:20.841255,2,person,0.80,746,98,1174,968
2025-04-30 13:37:20.875423,1,person,0.93,1,290,793,779
2025-04-30 13:37:20.875423,2,person,0.82,743,101,1175,965
2025-04-30 13:37:20.912876,1,person,0.92,1,290,794,778
2025-04-30 13:37:20.912876,2,person,0.82,739,102,1181,965
2025-04-30 13:37:20.945672,1,person,0.92,1,290,796,778
2025-04-30 13:37:20.945672,2,person,0.79,735,100,1184,968
2025-04-30 13:37:20.981982,1,person,0.93,1,290,794,779
2025-04-30 13:37:20.981982,2,person,0.80,728,99,1191,968
2025-04-30 13:37:21.015928,1,person,0.93,0,287,799,781
2025-04-30 13:37:21.015928,2,person,0.74,681,95,1239,977
2025-04-30 13:37:21.049861,1,person,0.93,1,285,796,784
2025-04-30 13:37:21.049861,2,person,0.76,725,93,1192,974
2025-04-30 13:37:21.081271,1,person,0.93,0,284,799,784
2025-04-30 13:37:21.081271,2,person,0.80,709,89,1209,980
2025-04-30 13:37:21.115347,1,person,0.92,0,283,801,785
2025-04-30 13:37:21.115347,2,person,0.82,729,85,1189,983
2025-04-30 13:37:21.149056,1,person,0.92,0,284,801,784
2025-04-30 13:37:21.149056,2,person,0.76,707,85,1212,983
2025-04-30 13:37:21.184178,1,person,0.93,0,286,801,782
2025-04-30 13:37:21.184178,2,person,0.80,733,83,1187,984
2025-04-30 13:37:21.220675,1,person,0.92,1,287,798,782
2025-04-30 13:37:21.220675,2,person,0.84,752,79,1167,988
2025-04-30 13:37:21.256669,1,person,0.91,0,285,800,782
2025-04-30 13:37:21.256669,2,person,0.80,739,75,1180,992
2025-04-30 13:37:21.296699,1,person,0.91,0,286,797,781
2025-04-30 13:37:21.296699,2,person,0.79,745,71,1172,995
2025-04-30 13:37:21.332014,1,person,0.89,1,286,818,782
2025-04-30 13:37:21.332014,2,person,0.85,778,67,1140,1000
2025-04-30 13:37:21.367738,1,person,0.87,2,286,804,781
2025-04-30 13:37:21.367738,2,person,0.74,596,65,1319,999
2025-04-30 13:37:21.407435,1,person,0.73,25,284,756,778
2025-04-30 13:37:21.407435,2,person,0.69,558,59,1357,1009
2025-04-30 13:37:21.440381,1,person,0.74,1,293,743,769
2025-04-30 13:37:21.440381,2,person,0.76,547,46,1368,1020
2025-04-30 13:37:21.476843,1,person,0.72,1,302,699,757
2025-04-30 13:37:21.476843,2,person,0.65,495,38,1411,1026
2025-04-30 13:37:21.510318,1,person,0.72,1,302,699,757
2025-04-30 13:37:21.510318,2,person,0.58,618,50,1285,1017
2025-04-30 13:37:21.540051,1,person,0.72,1,302,699,757
2025-04-30 13:37:21.540051,2,person,0.69,579,68,1336,999
2025-04-30 13:37:21.569384,1,person,0.78,0,332,647,733
2025-04-30 13:37:21.569384,2,person,0.87,597,93,1318,974
2025-04-30 13:37:21.599022,1,person,0.75,0,334,647,731
2025-04-30 13:37:21.599022,2,person,0.77,594,112,1317,953
2025-04-30 13:37:21.627133,1,person,0.76,0,322,652,747
2025-04-30 13:37:21.627133,2,person,0.81,594,115,1277,955
2025-04-30 13:37:21.659153,1,person,0.79,0,313,697,754
2025-04-30 13:37:21.659153,2,person,0.82,642,92,1266,975
2025-04-30 13:37:21.685787,1,person,0.73,0,302,723,765
2025-04-30 13:37:21.685787,2,person,0.79,662,93,1254,975
2025-04-30 13:37:21.715341,1,person,0.73,0,302,723,765
2025-04-30 13:37:21.715341,2,person,0.64,588,91,1328,977
2025-04-30 13:37:21.743808,1,person,0.73,0,302,723,765
2025-04-30 13:37:21.743808,2,person,0.61,337,88,1575,978
2025-04-30 13:37:21.772092,1,person,0.65,0,242,548,823
2025-04-30 13:37:21.772092,2,person,0.70,682,78,1234,990
2025-04-30 13:37:21.800463,1,person,0.65,0,242,548,823
2025-04-30 13:37:21.800463,2,person,0.62,292,62,1625,1007
2025-04-30 13:37:21.841040,1,person,0.61,0,170,854,894
2025-04-30 13:37:21.841040,2,person,0.71,526,44,1389,1022
2025-04-30 13:37:21.869195,1,person,0.81,0,156,803,913
2025-04-30 13:37:21.869195,2,person,0.77,712,30,1203,1039
2025-04-30 13:37:21.897573,1,person,0.84,0,137,823,933
2025-04-30 13:37:21.897573,2,person,0.82,681,32,1234,1035
2025-04-30 13:37:21.939239,1,person,0.72,0,121,780,947
2025-04-30 13:37:21.939239,2,person,0.75,644,24,1272,1043
2025-04-30 13:37:21.969036,1,person,0.70,0,96,813,972
2025-04-30 13:37:21.969036,2,person,0.72,606,13,1307,1057
2025-04-30 13:37:22.007948,1,person,0.81,0,85,764,983
2025-04-30 13:37:22.007948,2,person,0.82,665,16,1251,1049
2025-04-30 13:37:22.036873,1,person,0.85,0,66,785,1004
2025-04-30 13:37:22.036873,2,person,0.86,679,16,1239,1048
2025-04-30 13:37:22.076230,1,person,0.84,1,49,755,1020
2025-04-30 13:37:22.076230,2,person,0.83,608,15,1308,1049
2025-04-30 13:37:22.104062,1,person,0.82,0,29,768,1038
2025-04-30 13:37:22.104062,2,person,0.76,621,14,1294,1051
2025-04-30 13:37:22.144340,1,person,0.86,0,12,806,1055
2025-04-30 13:37:22.144340,2,person,0.77,629,8,1286,1059
2025-04-30 13:37:22.173513,1,person,0.80,0,4,758,1064
2025-04-30 13:37:22.173513,2,person,0.75,488,3,1428,1063
2025-04-30 13:37:22.216719,1,person,0.82,0,3,806,1060
2025-04-30 13:37:22.216719,2,person,0.76,639,1,1274,1066
2025-04-30 13:37:22.243823,1,person,0.87,0,9,823,1058
